"","idplot","n_trees_ifn2","ws_ifn2","wb27_ifn2","wb2_ifn2","wr_ifn2","n_trees_ifn3","ws_ifn3","wb7_ifn3","wb27_ifn3","wb2_ifn3","wr_ifn3","ntrees_d","ws_d","wb27_d","wb2_d","wr_d"
"46","26_0687",2,2422.28481975,307.24659455,96.3127,1124.1319375,2,2283.0534432,NA,307.78911856,89.1371,969.48995,0,-139.231376549999,0.542524010000079,-7.1756,-154.6419875
"47","26_0742",3,304.901080875,57.339776575,30.9434,134.9566075,4,462.254653125,NA,86.340665625,40.5535,188.042855,1,157.35357225,29.00088905,9.6101,53.0862475
"48","26_0764",19,576.59813325,121.37578785,138.6764,401.79997,19,1082.93583645,NA,218.24480441,163.4784,588.105375,0,506.3377032,96.86901656,24.802,186.305405
"49","26_0809",1,1928.974788,256.7739304,61.9242,812.97788,1,2089.08315,NA,283.70527,63.1385,847.847,0,160.108361999999,26.9313396,1.21429999999999,34.86912
"50","26_0810",3,7487.47462725,1031.76116805,195.7195,2946.6469175,4,7503.0918624,NA,968.80459792,218.6754,3319.45757,1,15.617235149999,-62.9565701299999,22.9559,372.8106525
"51","26_0954",8,497.903175,61.07775,103.6516,377.4274075,10,656.625529125,NA,88.362881425,122.0673,445.3345325,2,158.722354125,27.285131425,18.4157,67.907125
"52","27_1396",5,1632.433113,245.2382204,109.9467,690.5781025,5,2157.15984525,NA,347.57900745,111.0743,759.445115,0,524.72673225,102.34078705,1.12759999999999,68.8670125
"53","27_1424",1,252.614592,37.5329536,20.1632,115.33808,1,356.754375,NA,50.35425,24.9675,162.8859375,0,104.139783,12.8212964,4.8043,47.5478575
"54","27_1709",1,326.864426625,56.486586925,17.3974,108.5373575,4,495.201009375,NA,84.833666875,48.215,221.596375,3,168.33658275,28.34707995,30.8176,113.0590175
"55","27_1824",2,182.8303695,34.1774931,21.1052,87.10559,3,236.8328355,NA,43.2347559,30.4255,117.67613,1,54.0024660000001,9.0572628,9.32030000000001,30.57054
"56","27_1828",2,1422.7816005,206.5878679,66.9212,557.8676675,2,874.3545675,NA,74.8281965,77.0635,623.9350975,0,-548.427033,-131.7596714,10.1423,66.0674300000001
"57","27_1829",1,238.04244,30.714712,22.6696,130.42172,1,278.8760205,NA,36.6549289,23.9737,145.51823,0,40.8335805,5.9402169,1.3041,15.09651
"58","27_1879",1,614.426266125,73.987266025,37.8478,320.6092175,1,694.4300415,NA,89.1531907,38.0763,330.84623,0,80.003775375,15.165924675,0.228500000000004,10.2370125
"59","27_2062",1,246.648915,42.501547,15.8648,90.09143,2,764.626122,NA,126.0481226,40.7156,266.4665575,1,517.977207,83.5465756,24.8508,176.3751275
"60","27_2205",1,970.4670345,155.9823651,32.8041,295.3954575,1,1292.532323625,NA,214.609249525,35.0142,345.4483175,0,322.065289125,58.626884425,2.21009999999999,50.05286
"61","27_2330",6,5636.112789375,822.653525875,224.6275,2124.5835325,6,7377.74709525,NA,1160.12827745,226.4506,2296.055905,0,1741.634305875,337.474751575,1.82310000000001,171.4723725
"62","27_2339",2,1552.1658255,198.6646329,80.7773,734.8644875,2,2047.8277935,NA,311.9814673,74.6171,700.0940375,0,495.661968,113.3168344,-6.1602,-34.7704500000001
"63","27_2511",1,596.391264,88.0021312,30.0492,233.39888,1,860.740416,NA,132.4104928,33.6492,294.74588,0,264.349152,44.4083616,3.6,61.347
"64","27_2749",4,1028.741320125,156.729869225,77.9139,445.7907025,6,2122.495815375,NA,321.419001675,132.7201,866.973965,2,1093.75449525,164.68913245,54.8062,421.1832625
"65","27_2764",2,66.2521095,13.4443651,16.0913,46.8611,2,185.389833375,NA,28.705531075,26.3854,106.8370875,0,119.137723875,15.261165975,10.2941,59.9759875
"66","27_2767",5,1640.10905775,208.20261995,124.4763,889.71025,5,1538.387798625,NA,218.465509525,102.7796,710.57129,0,-101.721259125,10.262889575,-21.6967,-179.13896
"67","28_0150",3,2918.491723125,388.132636625,112.5476,1260.9786475,4,3364.841460375,NA,458.034442675,125.3841,1412.032765,1,446.349737250001,69.9018060499999,12.8365,151.0541175
"68","28_0206",13,1369.460050875,238.311247575,141.8114,651.63956,17,2058.32606175,NA,381.67038315,176.2274,859.34706,4,688.866010875,143.359135575,34.416,207.7075
"69","28_0886",1,44.522946,5.8380868,11.6551,37.52892,1,79.3962,NA,10.76746,13.951,54.37575,0,34.873254,4.9293732,2.2959,16.84683
"70","28_0902",2,1496.69556075,217.35223235,68.6743,583.9351375,2,1739.993007375,NA,255.329100275,72.8989,653.8406875,0,243.297446625,37.976867925,4.2246,69.9055500000002
"71","28_0979",1,1008.296505,168.338764,30.5671,276.2191575,1,1086.933978,NA,173.5441324,35.1838,330.84623,0,78.6374730000001,5.2053684,4.6167,54.6270725
"72","32_0086",1,438.05032875,69.24396675,23.3631,160.0030575,2,1017.5282055,NA,160.9639019,49.8732,359.67503,1,579.47787675,91.71993515,26.5101,199.6719725
"73","32_0187",1,914.688561375,138.066933475,35.8024,323.3233575,1,1439.2898505,NA,226.6750179,41.6943,438.0980175,0,524.601289125,88.608084425,5.89190000000001,114.77466
"74","32_0299",1,44.507808,7.9202464,9.5508,30.48188,4,3613.38507225,NA,599.52046405,107.4154,1008.499635,3,3568.87726425,591.60021765,97.8646,978.017755
"75","32_0314",5,769.07728125,139.90159625,56.373,285.232805,4,889.9480125,NA,149.2229775,59.2944,340.0443475,-1,120.87073125,9.32138125000003,2.92140000000001,54.8115425
"76","32_0418",2,83.5783335,22.8451043,10.1965,38.38406,4,168.59066625,NA,35.16480425,31.5251,100.9075925,2,85.01233275,12.31969995,21.3286,62.5235325
"77","32_0465",3,94.850499375,17.010388875,25.4934,72.936435,7,718.38155475,NA,116.68366255,83.9696,376.09286,4,623.531055375,99.673273675,58.4762,303.156425
"78","32_0680",1,388.825272,44.4684976,31.3333,224.24688,1,589.0330215,NA,87.0089497,29.8247,230.5192175,0,200.2077495,42.5404521,-1.5086,6.27233749999996
"79","32_0695",3,746.774929125,123.876106425,50.8621,290.602455,9,1558.402714125,NA,272.246554425,113.7816,604.0287825,6,811.627785,148.370448,62.9195,313.4263275
"80","32_0793",1,18.882469125,4.482383425,6.5814,15.9162575,1,27.86586075,NA,5.53041235,7.9753,21.8107175,0,8.983391625,1.048028925,1.3939,5.89446
"81","32_0877",4,483.157164375,52.669025875,73.3579,350.945595,2,313.1236575,NA,47.4576035,32.5487,157.35863,-2,-170.033506875,-5.21142237500001,-40.8092,-193.586965
"82","32_0932",2,580.50138825,97.67645685,32.8032,206.395475,3,984.81818475,NA,170.66197155,45.8902,311.9977575,1,404.3167965,72.9855147,13.087,105.6022825
"83","32_0966",1,61.198236,12.9686488,8.2158,30.48188,1,203.894211375,NA,37.232703475,13.2626,72.0723575,0,142.695975375,24.264054675,5.0468,41.5904775
"84","32_0974",3,360.96097725,65.77877305,31.2926,144.728155,5,970.6533885,NA,181.0127983,57.9925,323.0273475,2,609.69241125,115.23402525,26.6999,178.2991925
"85","32_0976",2,2094.11320725,338.73050705,66.9592,620.188855,2,2887.1750835,NA,491.7667493,68.7423,701.1808375,0,793.06187625,153.03624225,1.7831,80.9919825000002
"86","32_0980",7,2220.584117625,371.476079725,113.1208,719.07836,7,3417.479940375,NA,581.475956675,131.2626,988.82355,0,1196.89582275,209.99987695,18.1418,269.74519
"87","32_1101",10,1101.5461935,191.8151023,105.4071,478.340005,10,1847.796186375,NA,316.824878475,128.0329,700.2041475,0,746.249992875,125.009776175,22.6258,221.8641425
"88","32_1246",1,504.2967615,75.5716417,27.1307,197.3575175,1,833.113305,NA,140.953804,26.9751,228.2283575,0,328.8165435,65.3821623,-0.155599999999996,30.87084
"89","32_1252",3,258.42321225,43.44081105,34.1951,139.5461925,3,318.760115625,NA,30.923018125,53.0031,239.948995,0,60.336903375,-12.517792925,18.808,100.4028025
"90","32_1287",5,95.852739375,24.146705875,30.4435,76.0949475,7,287.548137,NA,68.0268046,45.5781,153.788635,2,191.695397625,43.880098725,15.1346,77.6936875
"91","34_0194",5,2935.7270865,474.2217967,127.1745,964.7462825,6,4671.97901775,NA,754.14670795,174.0932,1458.43269,1,1736.25193125,279.92491125,46.9187,493.6864075
"92","34_0293",2,34.385281875,5.817002375,15.7999,36.4696475,2,53.46878625,NA,10.07552525,16.3058,43.527055,0,19.083504375,4.258522875,0.505899999999997,7.05740749999998
"93","34_0382",9,327.18653325,73.99927785,62.5903,195.358735,12,625.816306125,NA,141.783923025,83.9791,305.55668,3,298.629772875,67.784645175,21.3888,110.197945
"94","34_0462",7,194.987194875,47.524102775,43.3789,129.18763,9,320.000191875,NA,69.528770375,64.8682,202.9552525,2,125.012997,22.0046676,21.4893,73.7676225
"95","34_0471",1,52.1575875,5.3076325,13.7185,47.6279375,1,90.239184,NA,13.4368672,13.5958,54.93488,0,38.0815965,8.1292347,-0.122699999999996,7.30694250000001
"96","34_0472",1,23.60777625,2.84281225,9.8531,25.8690575,2,53.7348105,NA,9.0428309,16.1651,45.08647,1,30.12703425,6.20001865,6.312,19.2174125
"97","34_0532",3,39.7026675,8.3138115,20.4446,43.505605,5,134.438653125,NA,26.410330625,39.6929,107.3904975,2,94.735985625,18.096519125,19.2483,63.8848925
"98","34_0549",6,303.600942,48.1750836,64.1256,217.79043,6,428.1708915,NA,68.4284007,70.705,265.31219,0,124.5699495,20.2533171,6.57940000000001,47.52176
"99","34_0553",3,80.4476385,18.1418733,20.293,56.28051,3,232.812228375,NA,47.781282075,25.5085,104.3260075,0,152.364589875,29.639408775,5.2155,48.0454975
"100","37_0379",1,46.0595835,5.0630893,12.7307,42.0595175,1,89.232507,NA,9.4468606,16.7308,69.84263,0,43.1729235,4.38377130000001,4.0001,27.7831125
"101","37_0479",3,986.28174225,128.66957505,73.4926,503.3431975,3,1198.426620375,NA,149.931170675,84.803,623.673765,0,212.144878125,21.261595625,11.3104,120.3305675
"102","37_0486",1,150.739734375,15.070396875,21.582,110.1189375,1,173.120079825,NA,17.415503485,22.9298,123.1834175,0,22.38034545,2.34510661000001,1.3478,13.06448
"103","37_1153",1,29.973598875,3.697600975,10.5286,29.8587575,1,45.5240115,NA,5.0416117,12.6409,41.5704575,0,15.550412625,1.344010725,2.1123,11.7117
"104","37_1383",5,751.92488325,137.89732785,56.6973,284.180325,17,1779.25024575,NA,325.65078035,165.4281,734.616025,12,1027.3253625,187.7534525,108.7308,450.4357
"105","37_1446",17,852.1831395,152.5110691,162.7913,545.644385,19,1427.506907625,NA,235.334411725,218.9529,835.526835,2,575.323768125,82.823342625,56.1616,289.88245
"106","37_1531",7,873.300290625,168.084068125,72.0344,341.2505525,6,1718.775012375,NA,279.401254275,107.3227,652.15865,-1,845.47472175,111.31718615,35.2883,310.9080975
"107","37_1534",5,80.473347,16.8454076,35.0422,79.6542175,4,105.315490125,NA,19.260280225,32.5178,87.166365,-1,24.842143125,2.414872625,-2.5244,7.5121475
"108","37_1550",1,7.423133625,2.298867525,5.1366,9.0379575,1,8.176869,NA,1.7931152,6.1673,11.2001175,0,0.753735375,-0.505752325,1.0307,2.16216
"109","37_1558",1,165.7578375,25.9732075,15.9855,78.97175,4,537.91049475,NA,67.83873955,71.6657,339.9049225,3,372.15265725,41.86553205,55.6802,260.9331725
"110","37_1570",4,740.254888125,120.062413625,56.4397,311.5558875,4,1538.160624225,NA,244.042612005,82.5221,564.038475,0,797.9057361,123.98019838,26.0824,252.4825875
"111","37_1595",18,2065.551129,361.5418182,208.5583,947.291345,1,318.603515625,NA,46.983203125,22.5,139.6484375,-17,-1746.947613375,-314.558615075,-186.0583,-807.6429075
